URN,Name,UUID,Geometry
"urn:uuid:fa5d2adc-4596-4674-80b7-59be6a7c8c41","TWKHH - 65","fa5d2adc-4596-4674-80b7-59be6a7c8c41","Polygon(List(List((120.342950747774,22.5420946419467), (120.343256644229,22.5424455369563), (120.345523120985,22.5407406298234), (120.345217228287,22.5403897347394), (120.342950747774,22.5420946419467))))"
"urn:uuid:c1f078e7-3148-4c15-96d4-b85594954694","TWKHH - 66","c1f078e7-3148-4c15-96d4-b85594954694","Polygon(List(List((120.282404579241,22.6083454942885), (120.282820963346,22.608568711133), (120.284632978244,22.6056545652007), (120.284216624209,22.6054314083613), (120.282404579241,22.6083454942885))))"
"urn:uuid:ad857ed7-6245-4a6f-9844-b7649d08067a","TWKHH - 67","ad857ed7-6245-4a6f-9844-b7649d08067a","Polygon(List(List((120.281780628217,22.6095428379358), (120.281949091033,22.6096331407291), (120.282581290378,22.6086164816138), (120.2824128288,22.6085261788091), (120.281780628217,22.6095428379358))))"
"urn:uuid:a64850bf-ac87-47dc-a91d-f4b4ccaad948","TWKHH - 68","a64850bf-ac87-47dc-a91d-f4b4ccaad948","Polygon(List(List((120.28833561089,22.6086321448551), (120.288488538153,22.6089108325647), (120.290281831975,22.6080624599244), (120.290128884664,22.6077837906494), (120.28833561089,22.6086321448551))))"
"urn:uuid:ff9b0973-a20c-420f-8005-37f6b592221c","TWKHH - 69","ff9b0973-a20c-420f-8005-37f6b592221c","Polygon(List(List((120.287106725732,22.6012142331281), (120.287290128374,22.6013165538612), (120.287896221589,22.6003799567827), (120.287712820188,22.6002776360377), (120.287106725732,22.6012142331281))))"
"urn:uuid:97a1404e-4f1f-42d7-9913-c596b2858f08","TWKHH - 70","97a1404e-4f1f-42d7-9913-c596b2858f08","Polygon(List(List((120.329395510202,22.5516588193765), (120.329778568085,22.5519368011303), (120.331777717257,22.5495600501175), (120.331394665935,22.5492820682816), (120.329395510202,22.5516588193765))))"
"urn:uuid:e4c4d4c6-5ded-4484-a1fe-bf412237cfc3","TWKHH - 71","e4c4d4c6-5ded-4484-a1fe-bf412237cfc3","Polygon(List(List((120.290484363617,22.6118989245514), (120.290420436077,22.6117872989462), (120.2895702347,22.6122070032892), (120.289634162434,22.6123186288887), (120.290484363617,22.6118989245514))))"
"urn:uuid:1c598f67-8781-4623-9ed6-956595592fc4","TWKHH - 72","1c598f67-8781-4623-9ed6-956595592fc4","Polygon(List(List((120.290486008004,22.6116487686212), (120.290481255776,22.6117751154349), (120.291443578869,22.611806313122), (120.291448331098,22.6116799663088), (120.290486008004,22.6116487686212))))"
"urn:uuid:36b754aa-1ba1-47fb-b027-cceddb55c8bb","TWKHH - 73","36b754aa-1ba1-47fb-b027-cceddb55c8bb","Polygon(List(List((120.313689301133,22.5605375764418), (120.313284595105,22.5602426066482), (120.30489643333,22.5701657239732), (120.305301176436,22.5704609536696), (120.313689301133,22.5605375764418))))"
"urn:uuid:542e6d15-7d8f-4a2c-95a6-ca769b9b9dc5","TWKHH - 74","542e6d15-7d8f-4a2c-95a6-ca769b9b9dc5","Polygon(List(List((120.27767827617,22.6183622808717), (120.277607622036,22.618233544457), (120.27694895491,22.6185451178401), (120.277019609203,22.6186738542499), (120.27767827617,22.6183622808717))))"
"urn:uuid:d4c8cbc6-ddae-4124-abd8-13dd37e2e19c","TWKHH - 75","d4c8cbc6-ddae-4124-abd8-13dd37e2e19c","Polygon(List(List((120.295776702605,22.6038304884184), (120.296031498967,22.6037715036345), (120.295652686803,22.6023608140778), (120.295397893037,22.6024197988721), (120.295776702605,22.6038304884184))))"
