Data_waalhaven.FEATUREID;Data_waalhaven.RESTRICTION_TYPE;Data_waalhaven.VESSEL_TYPE;Data_waalhaven.VESSEL_LENGTH_FROM;Data_waalhaven.VESSEL_LENGTH_TO;Data_waalhaven.VESSEL_BEAM_FROM;Data_waalhaven.VESSEL_BEAM_TO;Data_waalhaven.VESSEL_DRAUGHT_FROM;Data_waalhaven.VESSEL_DRAUGHT_TO;Data_waalhaven.VESSEL_HEIGHT_FROM;Data_waalhaven.VESSEL_HEIGHT_TO;Data_waalhaven.VESSEL_TONNAGE_FROM;Data_waalhaven.VESSEL_TONNAGE_TO;Data_waalhaven.VESSEL_DIRECTION;Data_waalhaven.SPECIAL_TRANSPORT;Data_waalhaven.VISIBILITY_FROM;Data_waalhaven.VISIBILITY_TO;Data_waalhaven.WIND_DIRECTION_FROM;Data_waalhaven.WIND_DIRECTION_TO;Data_waalhaven.WIND_SPEED_FROM;Data_waalhaven.WIND_SPEED_TO;Data_waalhaven.CURRENT_FROM;Data_waalhaven.CURRENT_TO;Data_waalhaven.CURRENT_TREND;Data_waalhaven.LIGHT_CONDITION;Data_waalhaven.RESTRICTION_VALUE;Data_waalhaven.RESTRICTION_UNIT;Data_waalhaven.RESTRICTION_DESCRIPTION;Data_waalhaven.POLICY_CLEARANCE;Data_waalhaven.POLICY_TUG_NUMBER;Data_waalhaven.POLICY_TUG_TYPE;Data_waalhaven.POLICY_TUG_BOLLARD_PULL;Data_waalhaven.POLICY_REMARKS;Data_waalhaven.STATUS;Data_waalhaven.DATASOURCE;Data_waalhaven.SURVEYMETHOD;Data_waalhaven.SURVEYPRECISION;Data_waalhaven.SURVEYDATE;Data_waalhaven.FUNCSTARTDATE;Data_waalhaven.FUNCENDDATE
N Z100/6/1255;MAXIMUM_BEAM;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;37,25;METERS;;;;;;;;;;;;;
N Z100/6/1256;MAXIMUM_BEAM;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;36,1;METERS;;;;;;;;;;;;;
N Z100/6/1257;MAXIMUM_BEAM;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;27,8;METERS;;;;;;;;;;;;;
N Z100/6/1272;MAXIMUM_BEAM;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;35;METERS;;;;;;;;;;;;;
N Z100/6/1273;MAXIMUM_BEAM;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;20;METERS;;;;;;;;;;;;;
N Z100/6/1274;MAXIMUM_BEAM;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;60;METERS;;;;;;;;;;;;;
N Z100/6/1275;MAXIMUM_BEAM;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;60;METERS;;;;;;;;;;;;;
N Z100/6/1276;MAXIMUM_BEAM;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;100;METERS;;;;;;;;;;;;;
N Z100/6/1277;MAXIMUM_BEAM;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;60;METERS;;;;;;;;;;;;;
N Z100/6/1281;MAXIMUM_BEAM;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;42;METERS;;;;;;;;;;;;;
N Z100/6/1282;MAXIMUM_BEAM;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;48;METERS;;;;;;;;;;;;;
N Z100/6/1299;MAXIMUM_BEAM;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;10;METERS;;;;;;;;;;;;;
N Z100/6/148;MAXIMUM_BEAM;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;27,4;METERS;;;;;;;;;;;;;
N Z100/6/151;MAXIMUM_BEAM;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;42,8;METERS;;;;;;;;;;;;;
N Z100/6/1518;MAXIMUM_BEAM;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;11,5;METERS;;;;;;;;;;;;;
N Z100/6/1519;MAXIMUM_BEAM;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;4;METERS;;;;;;;;;;;;;
N Z100/6/1520;MAXIMUM_BEAM;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;4;METERS;;;;;;;;;;;;;
N Z100/6/1538;MAXIMUM_BEAM;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;70;METERS;;;;;;;;;;;;;
N Z100/6/1539;MAXIMUM_BEAM;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;11,4;METERS;;;;;;;;;;;;;
N Z100/6/1540;MAXIMUM_BEAM;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;42;METERS;;;;;;;;;;;;;
N Z100/6/155;MAXIMUM_BEAM;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;33,38;METERS;;;;;;;;;;;;;
N Z100/6/973;MAXIMUM_BEAM;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;32,3;METERS;;;;;;;;;;;;;
N Z100/6/974;MAXIMUM_BEAM;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;32,3;METERS;;;;;;;;;;;;;
N Z100/6/975;MAXIMUM_BEAM;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;37;METERS;;;;;;;;;;;;;
N Z100/6/976;MAXIMUM_BEAM;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;44,5;METERS;;;;;;;;;;;;;
N Z100/6/1281;MAXIMUM_LENGTH;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;120;METERS;;;;;;;;;;;;;
N Z100/6/1255;MAXIMUM_LENGTH;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;120;METERS;;;;;;;;;;;;;
N Z100/6/82;MAXIMUM_LENGTH;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;80;METERS;;;;;;;;;;;;;
N Z100/6/1239;MAXIMUM_LENGTH;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;90;METERS;;;;;;;;;;;;;
N Z100/6/155;MAXIMUM_LENGTH;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;270;METERS;;;;;;;;;;;;;
N Z100/6/264;MAXIMUM_LENGTH;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;305;METERS;;;;;;;;;;;;;
N Z100/6/385;MAXIMUM_LENGTH;ALL;;;;;;;;;;;ALL;;;;;;;;;;;;300;METERS;;;;;;;;;;;;;
